from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Vice President (Non-Brd),1995-01-01,1998-01-01,Member,,
HARRIS INTERACTIVE INC (De-listed 02/2014),14359,New York State Bar Association (NYSBA),256477,Marc Levin,880614,COO/General Counsel/Secretary (Non-Brd),2012-03-27,2014-02-03,Member,,
HARRIS INTERACTIVE INC (De-listed 02/2014),14359,New York State Bar Association (NYSBA),256477,Marc Levin,880614,Executive VP/General Counsel/Corporate Secretary/Chief Administration Officer (Non-Brd),2011-06-01,2012-03-27,Member,,
HARRIS INTERACTIVE INC (De-listed 02/2014),14359,New York State Bar Association (NYSBA),256477,Marc Levin,880614,Senior VP/General Counsel/Corporate Secretary (Non-Brd),2009-04-01,2010-01-01,Member,,
HARRIS INTERACTIVE INC (De-listed 02/2014),14359,New York State Bar Association (NYSBA),256477,Marc Levin,880614,Senior VP/General Counsel/Corporate Secretary (Non-Brd),2010-01-01,2010-04-01,Member,,
Hodgson Russ LLP (Hodgson Russ Andrews Woods & Goodyear LLP prior to 01/2001),608040,New York State Bar Association (NYSBA),256477,Paul Comeau,871802,Senior Partner/Chairman Emeritus (Non-Brd),2018-01-01,,Co-Chairman,,
Hodgson Russ LLP (Hodgson Russ Andrews Woods & Goodyear LLP prior to 01/2001),608040,New York State Bar Association (NYSBA),256477,Paul Comeau,871802,Chairman (Brd) (ED),2004-07-01,2012-02-01,Co-Chairman,,
Hodgson Russ LLP (Hodgson Russ Andrews Woods & Goodyear LLP prior to 01/2001),608040,New York State Bar Association (NYSBA),256477,Paul Comeau,871802,Partner (Non-Brd),2012-02-01,2018-01-01,Co-Chairman,,
CA INC (CA Technologies) (De-listed 11/2018),7569,New York State Bar Association (NYSBA),256477,Joel Katz,880571,Senior VP/Chief Ethics & Compliance Officer (Non-Brd),2009-03-31,2018-05-01,Member,,
Sills Cummis & Gross PC (Sills Cummis Epstein & Gross PC prior to 09/2007),137487,New York State Bar Association (NYSBA),256477,Jonathan Young,890166,Managing Partner (Brd) (ED),2007-01-01,2009-01-01,Member,,
Sills Cummis & Gross PC (Sills Cummis Epstein & Gross PC prior to 09/2007),137487,New York State Bar Association (NYSBA),256477,Jonathan Young,890166,Attorney (Non-Brd),2012-01-01,2013-01-01,Member,,
OFS CAPITAL CORP,1903198,New York State Bar Association (NYSBA),256477,Tod Reichert,897003,Corporate Secretary (Non-Brd),2017-01-01,,Member,,
KORN FERRY (Korn/Ferry International prior to 01/2019),18139,New York State Bar Association (NYSBA),256477,Mark Arian,895398,Division CEO (Non-Brd),2017-04-03,,Member,,
MONEYGRAM INTERNATIONAL INC,756178,New York State Bar Association (NYSBA),256477,Lonnie Keene,897482,Executive VP/Chief Compliance Officer (Non-Brd),2008-05-01,2011-01-19,Member,,
American Bankers Association (ABA),79015,New York State Bar Association (NYSBA),256477,Lonnie Keene,897482,Member,,,Member,,
BUNGE LTD,5320,New York State Bar Association (NYSBA),256477,Carla Heiss,894928,Chief Compliance Officer (Non-Brd),2012-07-05,2014-03-01,Member,,
Consumer Bankers Association (CBA),81838,New York State Bar Association (NYSBA),256477,Reggie Chambers,895963,Director -  SD (Brd) (SD),,,Member,,
EVI INDUSTRIES INC (Envirostar Inc prior to 12/2018),9662,New York State Bar Association (NYSBA),256477,Todd Oretsky,887592,Independent Director (Brd) (SD),2015-05-14,,Member,,
PhoneX Holdings Inc (Usell.com Inc prior to 05/2019),1213855,New York State Bar Association (NYSBA),256477,Todd Oretsky,887592,Consultant (Non-Brd),2010-02-02,2010-07-01,Member,,
Nixon Peabody LLP,246637,New York State Bar Association (NYSBA),256477,Kathleen Suher,895825,Associate (Non-Brd),1993-01-01,1998-01-01,Member,,
JPMORGAN CHASE & CO,17528,New York State Bar Association (NYSBA),256477,Reggie Chambers,895963,MD (Non-Brd),2017-05-01,2019-01-01,Member,,
HOME PROPERTIES INC (Home Properties of New York prior to 09/2003) (De-listed 10/2015),14994,New York State Bar Association (NYSBA),256477,Kathleen Suher,895825,VP/Assistant Secretary (Non-Brd),2001-01-01,2015-10-07,Member,,
OFS CREDIT COMPANY INC,2926010,New York State Bar Association (NYSBA),256477,Tod Reichert,897003,Corporate Secretary (Non-Brd),2018-10-05,,Member,,
HOME PROPERTIES INC (Home Properties of New York prior to 09/2003) (De-listed 10/2015),14994,New York State Bar Association (NYSBA),256477,Kathleen Suher,895825,In-House Counsel (Non-Brd),1998-02-01,2001-01-01,Member,,
Bond Schoeneck & King PLLC,596164,New York State Bar Association (NYSBA),256477,Kathleen Suher,895825,Senior Counsel (Non-Brd),2016-05-01,,Member,,
ZappRx Inc,2329651,New York State Bar Association (NYSBA),256477,Jeff Berkowitz,896089,Director -  SD (Brd) (SD),,,Member,,
