name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Mike Kirk,1804193,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,1969-01-01,1970-01-01
Dan Endres,1791849,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1987-06-01,1999-05-01
Stephan van Herck,1802402,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Regional VP,2007-01-01,2008-01-01
Trey Seck,1792559,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Controller,2003-01-01,2007-01-01
Hosea Johnson,1803995,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,,
Stephen Tisdalle,1796931,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Strategy,2002-01-01,2008-01-01
Douglas Kim,1795598,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Rick Sullivan,1796262,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Bob Jennings,1797598,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1999-01-01,2006-01-01
Hiroyuki Okuma,1801376,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1987-04-01,2012-03-01
Bryan Brown,1808298,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2005-01-01,2007-01-01
Sendhil Jayachandran,1809687,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,2002-01-01,2006-01-01
Ryan Courtnage,1810122,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Team Leader,,1999-06-01
Michael Piloto,1809854,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Leader,2003-01-01,2005-03-01
Vince Balsamo,1811256,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Regional Sales Manager,2002-03-01,2006-09-01
Peter Bier,1814188,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,1988-01-01,1990-01-01
David Corey,1807689,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Manager,2003-11-01,2006-12-01
Amy Theaumont,1817012,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Analyst,1998-01-01,2004-01-01
David Corey,1807689,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Leader,2001-01-01,2003-11-01
Claudia Knowlton-Chike,1809486,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Program Director,1983-01-01,2006-01-01
Steve Millard,1815283,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Program Director,2007-01-01,2011-01-01
Abbas Ali,1809667,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Specialist,1994-01-01,2001-03-01
Daren Hanson,1808255,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2003-01-01,2006-01-01
Marc Romano,1809893,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,1996-06-01,1999-11-01
Mathew Mammen,1808966,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,1997-08-01,1998-08-01
Mike Small,1806731,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Director,1998-01-01,2007-01-01
Charles Mi,1812938,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,2000-06-01,2001-09-01
Eric Seifert,1809717,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Manager - Strategy,2002-05-01,2004-09-01
Adam McMullin,1809832,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Program Manager,2004-03-01,2005-07-01
Bryan Brown,1808298,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Officer,2013-01-01,2016-11-01
Keith Angell,1809692,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Director,2005-01-01,2007-01-01
Aly Valli,1808989,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Analyst,1999-05-01,1999-08-01
David Corey,1807689,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Executive - IT,2007-12-01,2014-12-01
Fred Kopec,1808247,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1998-01-01,2001-01-01
