company_id,university_id,company,university,n_grad,company_lat,company_lng,university_lat,university_lng
5320,63013,BUNGE LTD,Harvard Business School,1,41.0313991,-73.7735956,42.3655147,-71.1221412
5462,63013,CABOT CORP,Harvard Business School,2,42.3490569,-71.0411582,42.3655147,-71.1221412
5464,63013,CABOT MICROELECTRONICS CORP,Harvard Business School,1,41.7732806,-88.2239869,42.3655147,-71.1221412
5549,63013,CALIFORNIA WATER SERVICE GROUP,Harvard Business School,1,37.366815,-121.9127646,42.3655147,-71.1221412
5557,63013,CALLAWAY GOLF CO,Harvard Business School,1,33.1318162,-117.2806389,42.3655147,-71.1221412
5587,63013,CAMBREX CORP,Harvard Business School,2,40.8061864,-74.0787006,42.3655147,-71.1221412
5599,63013,CAMDEN PROPERTY TRUST,Harvard Business School,1,29.7321329,-95.4354433,42.3655147,-71.1221412
5676,63013,CANTEL MEDICAL CORP (Cantel Industries prior to 03/2000),Harvard Business School,1,40.8713065,-74.1954627,42.3655147,-71.1221412
5749,63013,BLACKSTONE MORTGAGE TRUST INC (Capital Trust Inc prior to 05/2013),Harvard Business School,1,40.7579332,-73.9722189,42.3655147,-71.1221412
5811,63013,CARDINAL HEALTH INC,Harvard Business School,2,40.1090076,-83.1210856,42.3655147,-71.1221412
5852,63013,CARLISLE COS INC,Harvard Business School,2,33.6355592,-111.9268181,42.3655147,-71.1221412
5880,63013,CARPENTER TECHNOLOGY CORP,Harvard Business School,1,39.9536631,-75.1695865,42.3655147,-71.1221412
5892,63013,CARRIAGE SERVICES INC,Harvard Business School,1,29.7349785,-95.4627916,42.3655147,-71.1221412
5898,63013,CARRIZO OIL & GAS INC,Harvard Business School,1,29.7577528,-95.3708239,42.3655147,-71.1221412
5970,63013,CASELLA WASTE SYSTEMS INC,Harvard Business School,2,43.604256,-72.993027,42.3655147,-71.1221412
5998,63013,CASS INFORMATION SYSTEMS INC,Harvard Business School,1,38.6068636,-90.4501823,42.3655147,-71.1221412
6059,63013,CATO CORP,Harvard Business School,1,35.127344,-80.880559,42.3655147,-71.1221412
6083,63013,CBRE GROUP INC (CB Richard Ellis Group Inc prior to 10/2011),Harvard Business School,1,34.0516069,-118.2536324,42.3655147,-71.1221412
6098,63013,CBS CORP,Harvard Business School,1,40.7611804,-73.9788194,42.3655147,-71.1221412
6253,63013,CENTRAL SECURITIES CORP,Harvard Business School,1,40.758995,-73.9772981,42.3655147,-71.1221412
6297,63013,CENTRAL GARDEN & PET CO,Harvard Business School,1,37.9256275,-122.0580874,42.3655147,-71.1221412
6375,63013,CERNER CORP,Harvard Business School,1,39.1498641,-94.5459231,42.3655147,-71.1221412
6389,63013,CERUS CORP,Harvard Business School,1,37.985649,-122.0472546,42.3655147,-71.1221412
6494,63013,CRA INTERNATIONAL INC (Charles River Associates Inc prior to 05/2005),Harvard Business School,1,42.3493011,-71.0752547,42.3655147,-71.1221412
6535,63013,CHASE CORP (MA),Harvard Business School,1,42.2016295,-71.1553419,42.3655147,-71.1221412
6627,63013,CHEVRON CORP (ChevronTexaco prior to 05/2005),Harvard Business School,1,37.7582505,-121.9580965,42.3655147,-71.1221412
6647,63013,CHILDREN'S PLACE INC (Children's Place Retail Stores Inc prior to 06/2014),Harvard Business School,1,40.7878337,-74.0449298,42.3655147,-71.1221412
6779,63013,CHURCH & DWIGHT CO INC,Harvard Business School,2,40.2868977,-74.7870701,42.3655147,-71.1221412
6834,63013,CIENA CORP,Harvard Business School,1,39.1921521,-76.6999634,42.3655147,-71.1221412
6910,63013,CIT GROUP INC,Harvard Business School,1,40.7543961,-73.9817833,42.3655147,-71.1221412
6930,63013,CITIGROUP INC,Harvard Business School,2,40.7206782,-74.0111516,42.3655147,-71.1221412
7045,63013,CLEAN HARBORS INC,Harvard Business School,1,42.1603973,-70.8839929,42.3655147,-71.1221412
7058,63013,CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017),Harvard Business School,1,41.49998,-81.6918898,42.3655147,-71.1221412
7089,63013,CLOROX COMPANY (THE),Harvard Business School,2,37.8034631,-122.272345,42.3655147,-71.1221412
7173,63013,TAPESTRY INC (Coach Inc prior to 10/2017),Harvard Business School,1,40.7536874,-74.0019162,42.3655147,-71.1221412
7223,63013,COEUR MINING INC (Coeur d'Alene Mines Corp prior to 05/2013),Harvard Business School,1,41.8806338,-87.6249238,42.3655147,-71.1221412
7256,63013,COGNIZANT TECHNOLOGY SOLUTIONS CORP,Harvard Business School,1,40.8732679,-74.0060059,42.3655147,-71.1221412
7293,63013,COLGATE-PALMOLIVE CO,Harvard Business School,3,40.7570209,-73.9746695,42.3655147,-71.1221412
7368,63013,COLUMBUS MCKINNON CORP,Harvard Business School,1,43.0413005,-78.7461973,42.3655147,-71.1221412
7387,63013,COMCAST CORP (AT&T Comcast Corp prior to 11/2002),Harvard Business School,2,39.9549688,-75.168451,42.3655147,-71.1221412
7422,63013,NATIONAL RETAIL PROPERTIES INC (Commercial Net Lease Realty prior to 05/2006),Harvard Business School,1,28.5370565,-81.379337,42.3655147,-71.1221412
7584,63013,DXC TECHNOLOGY CO (Computer Sciences Corp prior to 04/2017),Harvard Business School,1,38.9235896,-77.2204864,42.3655147,-71.1221412
7619,63013,CONAGRA BRANDS INC (Conagra Foods Inc prior to 11/2016),Harvard Business School,1,41.8884096,-87.6354498,42.3655147,-71.1221412
7727,63013,CNO FINANCIAL GROUP INC (Conseco Inc prior to 05/2010),Harvard Business School,1,39.962594,-86.1511695,42.3655147,-71.1221412
7753,63013,CONSTELLATION BRANDS INC (Canandaigua Brands prior to 01/2000),Harvard Business School,1,43.029708,-77.435198,42.3655147,-71.1221412
7847,63013,MOLSON COORS BREWING CO,Harvard Business School,1,39.7475235,-104.9898868,42.3655147,-71.1221412
7905,63013,INGREDION INC (Corn Products International Inc prior to 06/2012),Harvard Business School,2,41.8453955,-87.9052856,42.3655147,-71.1221412
7915,63013,CORNING INC,Harvard Business School,2,42.1453767,-77.0558823,42.3655147,-71.1221412
7936,63013,CORPORATE OFFICE PROPERTIES TRUST INC,Harvard Business School,1,39.1851183,-76.8062206,42.3655147,-71.1221412
8022,63013,COSTCO WHOLESALE CORP (Costco Companies Inc prior to 06/1999),Harvard Business School,1,47.5485708,-122.0506521,42.3655147,-71.1221412
8304,63013,CROWN CASTLE INTERNATIONAL CORP,Harvard Business School,3,29.7546993,-95.48327,42.3655147,-71.1221412
8338,63013,CRYOLIFE INC,Harvard Business School,1,34.0032301,-84.5944278,42.3655147,-71.1221412
8383,63013,CSX CORP,Harvard Business School,2,30.3245211,-81.6640579,42.3655147,-71.1221412
8446,63013,CURTISS-WRIGHT CORP,Harvard Business School,1,35.5031582,-80.863162,42.3655147,-71.1221412
8468,63013,CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014),Harvard Business School,1,41.9910645,-71.476792,42.3655147,-71.1221412
8660,63013,DANA INC (Dana Holding Corp prior to 08/2016),Harvard Business School,2,41.5675688,-83.6935076,42.3655147,-71.1221412
8697,63013,DARDEN RESTAURANTS INC,Harvard Business School,1,28.418282,-81.4250584,42.3655147,-71.1221412
8783,63013,DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016),Harvard Business School,1,39.7535072,-105.00415,42.3655147,-71.1221412
8867,63013,DECKERS OUTDOOR CORP,Harvard Business School,1,34.4287369,-119.8629881,42.3655147,-71.1221412
8946,63013,DELTA AIR LINES INC,Harvard Business School,1,33.7489954,-84.3879824,42.3655147,-71.1221412
8991,63013,DELUXE CORP,Harvard Business School,1,45.0539912,-93.1281199,42.3655147,-71.1221412
