company_id,lat,lng
19677,37.6615941,-77.576847
1995404,37.6901555,-121.8953044
7836,37.6977513,-121.9232221
1895620,37.6984925,-121.9266266
26560,37.7103486,-121.8900734
2740583,37.74782,-97.4269314
6627,37.7582505,-121.9580965
2937637,37.7704274,-122.3887624
3030432,37.775316,-122.4174374
2006706,37.7768337,-122.4163755
2634043,37.7875293,-122.4046321
69444,37.7897442,-122.3972337
27292,37.7905969,-122.3927897
937594,37.7932577,-122.3944272
33264,37.7933827,-122.4026176
641924,37.79539,-122.396107
1710,37.7980305,-122.394973
7089,37.8034631,-122.272345
3118,38.0054016,-122.530873
77014,38.1981365,-85.695749
5210,38.244955,-85.7837243
15207,38.2563673,-85.7585738
1976,38.6224792,-90.2093732
6261,38.6496633,-90.3343387
25995,38.661306,-90.56653
21032,38.6711242,-90.4005333
11414,38.7182901,-90.3106186
22521,38.8677505,-77.2159054
12984,38.8690333,-77.2150053
3169,38.8787988,-77.1106409
8663,38.9017929,-77.0493245
8021,38.9041034,-77.0311069
637487,38.9156634,-94.6587588
1961442,38.9221379,-94.6289745
5734,38.9245733,-77.2135063
2022926,38.9280922,-77.2151232
2660908,38.9576016,-77.3601845
1024834,38.982518,-119.943165
19706,39.0247171,-77.1382699
19048,39.03099,-77.138944
11649,39.0611389,-77.1271556
25150,39.1032195,-84.5052772
6375,39.1498641,-94.5459231
6834,39.1921521,-76.6999634
8426,39.2036161,-85.9228525
1807831,39.2863215,-84.3205009
25020,39.2871714,-76.6128397
24265,39.2871831,-76.6083641
6863,39.3077776,-84.5207443
6877,39.3411816,-84.282986
19939,39.4925584,-76.652849
1924862,39.5531852,-104.8457211
22069,39.6006238,-104.8923492
26634,39.7521134,-105.0000873
2696655,39.7554433,-75.6051393
18888,39.7559112,-86.1530808
2273,39.7633921,-86.1512792
28041,39.7668367,-86.1623174
1966,39.9487969,-75.1307896
7387,39.9549688,-75.168451
15235,39.9610405,-83.0007547
2911460,39.9621155,-75.1640533
29127,39.9640947,-82.9868629
1809,39.9650383,-83.0064261
1612965,39.9769307,-86.1607893
32774,40.0446615,-75.5280656
9513,40.061418,-76.5487328
31865,40.078207,-75.36959
103377,40.0885655,-75.4070669
461561,40.2226805,-74.8833999
21017,40.2355799,-74.2721248
2006042,40.3515257,-75.9703256
33000,40.3943886,-79.8094533
2302079,40.4398325,-80.0034907
24887,40.4398325,-80.0034907
24669,40.4399686,-80.0002473
17478,40.4979518,-74.4430559
2129696,40.5278363,-74.5475443
1173,40.5525025,-75.5987118
101407,40.6181541,-111.9151897
27219,40.6774305,-74.2723554
19953,40.7033782,-74.009675
1684303,40.7040662,-74.0111456
1856,40.7063657,-74.0051548
2063087,40.7087357,-74.0081164
6177,40.7090186,-74.3452692
42640,40.7098327,-74.0107394
2354612,40.7120622,-74.0151608
21071,40.7134166,-74.0119311
1041062,40.7134166,-74.0119311
1815,40.7138829,-74.0146871
945834,40.7142261,-74.011977
13564,40.7148544,-74.0144968
6930,40.7206782,-74.0111516
1586724,40.7277213,-74.0349363
7705,40.7341443,-73.9883294
25332,40.7369358,-74.1720252
25378,40.7370367,-74.1680642
5118,40.740191,-73.974859
422451,40.7410521,-73.9952147
24296,40.7503024,-73.9726573
1060044,40.7518892,-73.9782982
33915,40.752707,-73.9740497
20426,40.7533488,-73.9766668
469152,40.7542087,-73.9735521
1714195,40.7545475,-73.9745088
32507,40.7547674,-73.9849149
17528,40.7554702,-73.9766645
2300004,40.756039,-73.9741415
19713,40.7568582,-73.9820448
7293,40.7570209,-73.9746695
3018035,40.7572802,-73.9829159
23113,40.7573533,-73.9752435
55498,40.7579332,-73.9722189
1739067,40.7579754,-73.9823192
22082,40.7586113,-73.9822089
2245,40.7586113,-73.9822089
4584,40.7592391,-73.9735483
3058459,40.7592825,-73.9719906
21105,40.7600547,-73.9855324
28130,40.7604692,-73.9788795
2815062,40.7604692,-73.9788795
6098,40.7611804,-73.9788194
2894562,40.7629384,-73.978958
11074,40.7636433,-73.9726971
2296,40.7685068,-73.9831349
16530,40.7698438,-73.9895306
2592200,40.7824143,-74.4260905
3101,40.8155809,-74.31007
28325,40.8465718,-81.760753
1929138,40.8470715,-74.4447772
7256,40.8732679,-74.0060059
3903,41.017009,-74.2106872
483173,41.0208168,-73.7096826
24151,41.0344724,-73.6928681
1899665,41.0359703,-83.6478935
1710040,41.0360917,-83.6494426
1661731,41.0504634,-73.5388563
25954,41.0785443,-73.8234767
11964,41.083384,-81.5183258
25022,41.0930242,-73.4539645
2129744,41.0973183,-73.5617133
16506,41.1095709,-73.7228708
33850,41.1502558,-73.4263023
27549,41.1521343,-74.7445325
34134,41.2394428,-85.8543015
4080,41.2571596,-95.965497
2379226,41.2579459,-73.0015077
31786,41.259172,-95.93518
2048,41.2599735,-96.0834689
1951118,41.377271,-73.4715071
3424,41.4184432,-74.4242946
24905,41.4239186,-73.4105965
2100,41.4607747,-72.8330564
8886,41.476481,-90.424668
27786,41.4972774,-81.6924983
818089,41.5051402,-81.6895305
23834,41.5065902,-81.4611707
25199,41.5359019,-81.4510402
