university_id,university,n_grad,lat,lng
101547,Newark College of Engineering,1,40.7441693,-74.1792556
138141,Universidad de Barcelona (University of Barcelona),1,41.386608,2.16402
243432,Midland College,1,32.0304457,-102.1061597
254451,Swiss Institute of Certified Accountants and Tax Consultants,1,40.7284172,-73.9875484
255937,Cranbrook Schools,1,42.5676106,-83.2516462
465115,Tusculum College,1,36.1724335,-82.7608814
489185,Indiana Institute of Technology (Indiana Tech),1,41.077818,-85.116851
575025,Sir George Williams University,1,45.495746,-73.5781092
590127,Fels Institute of Government,1,39.95351,-75.200022
643649,Arkansas Tech University,1,35.2944535,-93.1362663
660106,Universidad de Chile (University of Chile),1,-33.4445204,-70.6509277
851324,Ecole Superieure de Chimie Industrielle de Lyon (CIE),1,45.7838533,4.8690119
882276,De La Salle High School,1,39.058552,-94.5717191
955887,University of KwaZulu-Natal,1,-29.8674219,30.9807272
1061074,Centro Universitrio da FEI,1,-23.7242412,-46.5793979
1471729,Southern Illinois University Carbondale,1,37.7100209,-89.2225941
2419095,Rutgers University New Brunswick,1,40.5008186,-74.4473991
