university,university_id
Aston University,60091
Chartered Institute of Building (CIOB) (UK),64239
Royal Institution of Chartered Surveyors (RICS),35390
Auburn University at Montgomery,60101
Investment Adviser Association (IAA),747360
Law Society of Ireland,69947
Roxbury Latin School,63435
International Marine Contractors Association,826047
New College Oxford University,63045
Marquette University,61231
Iowa State University of Science and Technology,60987
Johns Hopkins University School for Advanced International Studies (SAIS),606498
Chartered Institute of Patent Agents (CIPA) (UK),75895
University of Auckland,62165
Aresty Institute of Executive Education Wharton School of University of Pennsylvania,1494340
College of Business University of Illinois at Urbana-Champaign (College of Commerce and Business Administration prior to 2003),1542737
University of British Columbia (UBC),62203
University of Strathclyde,62688
Florida Institute of Technology,79758
University of Tampa,107432
National Defense University (NDU) (USA),61380
American Academy of Arts and Sciences (AAAS),36651
Cox School of Business Southern Methodist University (Formerly known as Edwin L Cox School of Business),733102
Northwestern State University,822725
Universiteit Gent (University of Ghent),48939
Columbia School of Engneering,65283
Katholieke Universiteit Leuven (KUL) (Catholic University of Leuven),69305
Royal College of Science,44192
Vanderbilt University,62843
University of Wisconsin-Madison,751347
University of Aleppo,782521
King's College London University of London,40903
University of Manchester Institute of Science and Technology (UMIST),62442
St Edward's College Liverpool,63409
American Board of Internal Medicine (ABIM),36377
Universitat de Valencia,62766
Universiteit Leiden (University of Leiden),37065
University of New South Wales,62524
Queens' College Cambridge University,63296
Spring Hill College,124632
Louisiana State University (LSU),61181
United States Military Academy (USMA) West Point,62117
Kingston University (Formerly known as Kingston Polytechnic),61072
Westminster School,64081
Purdue University,61638
Dartmouth College,60488
Southern New Hampshire University (New Hampshire College prior to 07/2001),492266
American University Washington,60049
Texas Tech University,62046
Stonier Graduate School of Banking Rutgers University,81782
United States Naval Academy (USNA),377927
Universit degli Studi di Milano (UNIMI) (University of Milan),63015
Securities Institute (UK),37531
University of Missouri-Kansas City (UMKC),80841
Southern Methodist University,61882
Pennsylvania State University (Penn State University),61582
Helsinki University of Business Administration,832907
California State University (CSU),60252
Jefferson Medical College,35284
University of North Carolina (UNC),40198
University of West Florida,89911
Chartered Institute of Marketing (CIM) (UK),38129
University of Essex,62296
Balliol College Oxford University,63197
Highgate School,65314
University of Utah,62764
Southern Benedictine College,875145
Michigan State University (MSU),61278
Technische Universitt Wien (Vienna University of Technology),62856
Netherlands Institute of International Relations Clingendael,1581706
St Helier Boys School Jersey,69331
Institute of Chartered Directors,898063
University of Missouri,52409
University of Queensland,90682
Royal Aeronautical Society (RAeS) (UK),36341
Engineering Council (EC) (UK),44083
University of the West of Scotland (Formerly known as University of Paisley),62564
Columbia Graduate School Arts & Sciences,1549215
Christian Albrechts Universitt zu Kiel (Christian Albrechts University of Kiel),60355
Rheinische Friedrich Wilhelms Universitt Bonn (University of Bonn),62194
Universit Paris Sorbonne - Paris IV (Paris Sorbonne University - Paris IV),63794
Carlisle University,64413
University of Toledo,62751
University of Wales,63551
University of Exeter,62301
East Carolina University,78858
University of Wolverhampton,62818
Fitzwilliam College Cambridge University,63614
Amherst College,60055
University of Massachusetts Amherst (UMA),62456
California State University Los Angeles (Formerly known as Los Angeles State College),60260
Insurance Institute of America (IIA),63682
American College,78113
Management Development Institute (MDI),1141122
Embry-Riddle Aeronautical University,60622
Institute of Management (France),36345
Ecole Superieure de Chimie Industrielle de Lyon (CIE),851324
Universit de Lyon (University of Lyon),862294
University of Texas at Austin,62742
Southwest Baptist University,242497
James Gillespie,65167
John Brown University,265087
Vanderbilt University Owen Graduate School of Management,747101
Universidad de Chile (University of Chile),660106
Harvard Medical School,63348
University of Virginia School of Medicine,720166
Eaton High School,1616034
Hunter College City University of New York,80637
University System of Georgia (USG),464989
University of Tennessee College of Law,666600
University of Cincinnati,62243
Technische Universitt Hannover,912578
Technische Universiteit Delft (Delft University of Technology),60516
Hogeschool Rotterdam (Rotterdam University of Applied Sciences),60632
National Institute for Medical Research (NIMR),66357
Institute of Chartered Engineers (ICE) (UK),43524
Laboratory of Molecular Biology,105622
Royal College of Pathologists (UK),47137
Royal College of Physicians (RCP),36493
North East Surrey College Of Technology (NESCOT) (Formerly known as Ewell Technical College),1484492
Glenalmond College,49820
Colgate University,60399
Hamline University School of Law (Ceased Trading 12/2015),820815
University of St Thomas,80829
Trinity College Cambridge University,62088
Mount Holyoke College,61339
University of Houston,62360
University of Wales Aberystwyth,62779
Chance Technical College,69895
CT Bauer College of Business University of Houston,940956
Royal Academy of Engineering (RAEng) (UK),36490
Institution of Engineering and Technology (The) (IET),41064
Keble College Oxford University,64369
Roosevelt University,63519
Newcastle University (Formerly known as Newcastle Upon Tyne University),61429
American Academy of Actuaries (AAA),53099
Samuel Curtis Johnson Graduate School of Management Cornell University (S C Johnson Graduate School of Management),78597
Occidental College,61516
cole Superieure de Commerce,63641
cole de Management de Lyon (Lyon Management School) (EM Lyon),530312
Syracuse University School of Business,98357
Guilford College,421677
Central Michigan University,60309
Washington University School of Medicine St Louis,482000
St Stephens College Delhi University,61928
University of Delhi,243736
IHM Business School,63161
Swedish University of Physical Education,63163
Yale Divinity School,87552
